# fk-constraints.txt - pg_constraint dump from mcc-production
# Generated 2026-07-16 via mcp__supabase__execute_sql
# Format: conname	source_table	definition

club_points_redemptions_club_id_fkey	club_points_redemptions	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_points_redemptions_member_id_fkey	club_points_redemptions	FOREIGN KEY (member_id) REFERENCES auth.users(id)
club_points_redemptions_reward_id_fkey	club_points_redemptions	FOREIGN KEY (reward_id) REFERENCES club_rewards(id)
club_products_club_id_fkey	club_products	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_promotions_club_id_fkey	club_promotions	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_reward_redemptions_membership_id_fkey	club_reward_redemptions	FOREIGN KEY (membership_id) REFERENCES club_memberships(id) ON DELETE CASCADE
club_reward_redemptions_rule_id_fkey	club_reward_redemptions	FOREIGN KEY (rule_id) REFERENCES club_reward_rules(id) ON DELETE CASCADE
club_reward_rules_club_id_fkey	club_reward_rules	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_rewards_club_id_fkey	club_rewards	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_testimonials_club_id_fkey	club_testimonials	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
co_driver_evaluations_evaluatee_id_fkey	co_driver_evaluations	FOREIGN KEY (evaluatee_id) REFERENCES drivers(id)
co_driver_evaluations_evaluator_id_fkey	co_driver_evaluations	FOREIGN KEY (evaluator_id) REFERENCES drivers(id)
commission_rate_history_founder_id_fkey	commission_rate_history	FOREIGN KEY (founder_id) REFERENCES member_founder_profiles(id) ON DELETE CASCADE
community_posts_author_id_fkey	community_posts	FOREIGN KEY (author_id) REFERENCES profiles(id) ON DELETE CASCADE
concierge_job_drivers_driver_id_fkey	concierge_job_drivers	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE RESTRICT
concierge_job_drivers_job_id_fkey	concierge_job_drivers	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE CASCADE
concierge_job_legs_job_id_fkey	concierge_job_legs	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE CASCADE
concierge_jobs_appointment_id_fkey	concierge_jobs	FOREIGN KEY (appointment_id) REFERENCES service_appointments(id) ON DELETE SET NULL
concierge_jobs_member_id_fkey	concierge_jobs	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE RESTRICT
concierge_jobs_package_id_fkey	concierge_jobs	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE RESTRICT
concierge_jobs_provider_id_fkey	concierge_jobs	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE SET NULL
corrective_action_responses_provider_id_fkey	corrective_action_responses	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
corrective_action_responses_reviewed_by_fkey	corrective_action_responses	FOREIGN KEY (reviewed_by) REFERENCES auth.users(id)
credit_refunds_provider_id_fkey	credit_refunds	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
crowd_fund_contributions_contributor_id_fkey	crowd_fund_contributions	FOREIGN KEY (contributor_id) REFERENCES profiles(id)
crowd_fund_contributions_package_id_fkey	crowd_fund_contributions	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
custody_attestations_handoff_id_fkey	custody_attestations	FOREIGN KEY (handoff_id) REFERENCES custody_handoffs(id) ON DELETE CASCADE
custody_attestations_job_id_fkey	custody_attestations	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE CASCADE
custody_attestations_party_id_fkey	custody_attestations	FOREIGN KEY (party_id) REFERENCES auth.users(id)
